CaseNum,RYCohort,donatesum,SpouseAlum,SportsAlum,UGAlumAwards,OtherUGAct,EverAssigned,BoardMember,ChildAlum,ParentAlum,SiblingAlum,GradDegree,TotalReunions,OnePlusEvents,Years Lapsed
94,1964,0,0,0,0,0,0,0,0,0,0,0,0,0,48
95,1959,2,0,0,0,1,0,0,0,0,0,0,16,1,1
96,1954,2,0,0,0,0,0,0,1,0,0,0,0,0,11
97,1954,2,0,0,0,1,0,0,0,0,0,0,4,1,15
98,1954,1,0,0,0,0,0,0,0,0,0,0,0,0,48
99,1969,0,0,0,0,0,0,0,0,0,0,0,1,0,48
100,1969,0,0,0,0,1,0,0,0,0,0,0,0,0,13
101,1964,0,0,0,1,0,0,1,0,0,0,0,2,1,24
102,1969,2,1,0,0,1,1,1,0,0,0,1,4,1,1
103,1969,0,0,0,0,0,0,0,0,0,0,0,0,0,48
104,1969,0,0,0,0,0,0,0,0,0,0,0,0,0,48
105,1969,0,0,0,0,1,0,0,0,0,0,1,0,1,30
106,1954,1,0,0,0,0,0,0,0,0,0,0,0,1,22
107,1969,0,0,0,0,0,0,0,0,0,0,0,0,0,48
108,1954,1,0,1,0,0,0,0,0,0,0,0,1,0,1
109,1964,0,0,0,0,0,0,0,1,0,0,0,0,0,31
110,1964,0,0,0,0,0,0,0,0,0,0,0,0,0,48
111,1964,0,0,0,0,0,0,0,0,0,0,0,0,0,48
112,1964,0,0,1,0,0,0,0,0,0,0,0,0,0,33
113,1954,2,0,1,0,0,0,0,0,0,0,0,4,1,1
114,1969,0,0,1,0,0,0,0,0,0,0,0,0,0,48
115,1964,0,0,0,0,0,0,0,1,0,0,0,0,0,24
116,1964,0,0,0,0,0,0,0,0,0,0,0,0,0,34
117,1969,1,0,0,0,0,0,0,0,0,0,0,0,1,0
118,1969,2,0,0,0,1,0,0,0,0,0,0,0,1,3
119,1964,0,0,0,0,0,0,0,0,0,0,0,5,1,18
120,1969,0,1,0,0,0,0,0,0,0,0,0,0,0,32
121,1969,1,0,0,0,0,0,0,0,0,0,0,0,0,8
122,1954,2,0,1,0,0,0,0,0,0,0,0,0,1,1
123,1964,1,0,0,0,0,0,0,1,0,0,0,0,0,15
124,1954,2,0,0,0,1,0,0,0,0,0,0,0,1,1
125,1964,0,0,0,0,0,0,0,0,0,0,0,0,0,48
126,1954,1,0,0,0,0,0,0,0,0,0,0,0,0,27
127,1969,0,0,1,0,0,0,0,0,0,0,0,0,0,14
128,1964,0,1,0,0,0,0,0,0,0,0,0,0,0,34
129,1969,0,0,1,0,0,0,0,0,0,0,0,0,0,34
130,1969,0,0,0,0,0,0,0,0,0,0,0,0,0,25
131,1969,2,0,1,0,0,0,0,0,0,0,0,1,1,4
132,1969,2,0,0,0,0,0,0,0,0,0,1,2,1,1
133,1969,0,0,0,0,0,0,0,0,0,0,0,0,0,48
134,1969,0,0,0,0,0,0,0,0,0,0,0,0,0,48
135,1969,2,0,0,0,1,0,0,0,0,0,0,1,1,1
136,1964,0,0,0,1,0,0,1,0,0,0,1,2,1,10
137,1969,0,0,0,0,0,0,0,0,0,1,0,1,0,20
138,1959,0,0,0,0,0,0,0,0,0,0,0,0,1,48
139,1954,1,0,0,0,0,0,0,0,0,0,0,0,0,48
140,1954,1,0,0,0,0,0,0,0,0,0,0,0,0,48
141,1959,0,0,1,0,1,0,0,0,0,0,0,0,1,16
142,1954,2,0,1,0,1,0,0,0,0,0,0,2,1,6
143,1969,2,0,0,0,0,0,0,0,0,0,0,1,1,2
